Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Current libzmq version is 4.3.4
Current  pyzmq version is 22.3.0
Main: parse command line arguments
Subscriber interested in listening for these topics: ['temperature', 'light', 'altitude', 'sound', 'humidity', 'pressure', 'airquality', 'weather']
Getting subscriber object
Binding REP to tcp://10.0.0.67:5580
Getting registry proxy
Registering with tcp://10.0.0.3:5550...
Registration sent
Registration received
Waiting for start from registry
Subscribing to tcp://10.0.0.11:5561
Starting update loop thread
Starting monitor loop thread
Fetching updates from registry...
Request sent
Reply received
[{'ip': '10.0.0.11', 'port': '5561'}]
Starting subscriber listen loop...
{'Topic': 'light', 'Value': 293, 'Sender': '10.0.0.12', 'Sent': 1647710207.3959808, 'Brokered': 1647710207.416588, 'Subscriber': '10.0.0.67', 'Received': 1647710207.443536}
{'Topic': 'light', 'Value': 41, 'Sender': '10.0.0.12', 'Sent': 1647710207.497027, 'Brokered': 1647710207.5179505, 'Subscriber': '10.0.0.67', 'Received': 1647710207.5529444}
{'Topic': 'light', 'Value': 18, 'Sender': '10.0.0.12', 'Sent': 1647710207.597382, 'Brokered': 1647710207.6274931, 'Subscriber': '10.0.0.67', 'Received': 1647710207.6754777}
{'Topic': 'humidity', 'Value': 133, 'Sender': '10.0.0.14', 'Sent': 1647710207.599258, 'Brokered': 1647710207.6276212, 'Subscriber': '10.0.0.67', 'Received': 1647710207.6756134}
{'Topic': 'light', 'Value': 161, 'Sender': '10.0.0.12', 'Sent': 1647710207.6985135, 'Brokered': 1647710207.7231727, 'Subscriber': '10.0.0.67', 'Received': 1647710207.7487452}
{'Topic': 'pressure', 'Value': 217, 'Sender': '10.0.0.14', 'Sent': 1647710207.6994188, 'Brokered': 1647710207.7232544, 'Subscriber': '10.0.0.67', 'Received': 1647710207.7488656}
{'Topic': 'light', 'Value': 29, 'Sender': '10.0.0.12', 'Sent': 1647710207.799986, 'Brokered': 1647710207.8337948, 'Subscriber': '10.0.0.67', 'Received': 1647710207.8580751}
{'Topic': 'airquality', 'Value': 481, 'Sender': '10.0.0.14', 'Sent': 1647710207.8002064, 'Brokered': 1647710207.8339202, 'Subscriber': '10.0.0.67', 'Received': 1647710207.858196}
{'Topic': 'light', 'Value': 385, 'Sender': '10.0.0.12', 'Sent': 1647710207.900358, 'Brokered': 1647710207.9211428, 'Subscriber': '10.0.0.67', 'Received': 1647710207.9443693}
{'Topic': 'altitude', 'Value': 30, 'Sender': '10.0.0.14', 'Sent': 1647710207.9012187, 'Brokered': 1647710207.9215946, 'Subscriber': '10.0.0.67', 'Received': 1647710207.944485}
{'Topic': 'light', 'Value': 46, 'Sender': '10.0.0.12', 'Sent': 1647710208.0015502, 'Brokered': 1647710208.0225632, 'Subscriber': '10.0.0.67', 'Received': 1647710208.0487413}
{'Topic': 'humidity', 'Value': 480, 'Sender': '10.0.0.14', 'Sent': 1647710208.0016901, 'Brokered': 1647710208.022674, 'Subscriber': '10.0.0.67', 'Received': 1647710208.0488632}
{'Topic': 'sound', 'Value': 22, 'Sender': '10.0.0.14', 'Sent': 1647710208.1023588, 'Brokered': 1647710208.1232066, 'Subscriber': '10.0.0.67', 'Received': 1647710208.1504085}
{'Topic': 'light', 'Value': 141, 'Sender': '10.0.0.12', 'Sent': 1647710208.1059668, 'Brokered': 1647710208.127256, 'Subscriber': '10.0.0.67', 'Received': 1647710208.1603842}
{'Topic': 'light', 'Value': 281, 'Sender': '10.0.0.12', 'Sent': 1647710208.20673, 'Brokered': 1647710208.2374065, 'Subscriber': '10.0.0.67', 'Received': 1647710208.3085225}
{'Topic': 'pressure', 'Value': 367, 'Sender': '10.0.0.14', 'Sent': 1647710208.2029674, 'Brokered': 1647710208.2378604, 'Subscriber': '10.0.0.67', 'Received': 1647710208.308696}
{'Topic': 'altitude', 'Value': 379, 'Sender': '10.0.0.14', 'Sent': 1647710208.3031693, 'Brokered': 1647710208.3241975, 'Subscriber': '10.0.0.67', 'Received': 1647710208.3471117}
{'Topic': 'light', 'Value': 308, 'Sender': '10.0.0.12', 'Sent': 1647710208.3084433, 'Brokered': 1647710208.3331447, 'Subscriber': '10.0.0.67', 'Received': 1647710208.3566277}
{'Topic': 'altitude', 'Value': 429, 'Sender': '10.0.0.14', 'Sent': 1647710208.4048736, 'Brokered': 1647710208.426416, 'Subscriber': '10.0.0.67', 'Received': 1647710208.4544318}
{'Topic': 'light', 'Value': 12, 'Sender': '10.0.0.12', 'Sent': 1647710208.4088285, 'Brokered': 1647710208.431633, 'Subscriber': '10.0.0.67', 'Received': 1647710208.4545586}
{'Topic': 'sound', 'Value': 84, 'Sender': '10.0.0.14', 'Sent': 1647710208.5055132, 'Brokered': 1647710208.528484, 'Subscriber': '10.0.0.67', 'Received': 1647710208.553268}
{'Topic': 'light', 'Value': 410, 'Sender': '10.0.0.12', 'Sent': 1647710208.510504, 'Brokered': 1647710208.533711, 'Subscriber': '10.0.0.67', 'Received': 1647710208.5588653}
{'Topic': 'pressure', 'Value': 232, 'Sender': '10.0.0.14', 'Sent': 1647710208.6064813, 'Brokered': 1647710208.6299644, 'Subscriber': '10.0.0.67', 'Received': 1647710208.661372}
{'Topic': 'light', 'Value': 58, 'Sender': '10.0.0.12', 'Sent': 1647710208.6107595, 'Brokered': 1647710208.6353185, 'Subscriber': '10.0.0.67', 'Received': 1647710208.6615}
{'Topic': 'humidity', 'Value': 49, 'Sender': '10.0.0.14', 'Sent': 1647710208.7066777, 'Brokered': 1647710208.7299278, 'Subscriber': '10.0.0.67', 'Received': 1647710208.7682238}
{'Topic': 'light', 'Value': 145, 'Sender': '10.0.0.12', 'Sent': 1647710208.7110033, 'Brokered': 1647710208.7334125, 'Subscriber': '10.0.0.67', 'Received': 1647710208.768359}
{'Topic': 'humidity', 'Value': 83, 'Sender': '10.0.0.14', 'Sent': 1647710208.8078656, 'Brokered': 1647710208.830817, 'Subscriber': '10.0.0.67', 'Received': 1647710208.8587182}
{'Topic': 'light', 'Value': 188, 'Sender': '10.0.0.12', 'Sent': 1647710208.8132288, 'Brokered': 1647710208.8372347, 'Subscriber': '10.0.0.67', 'Received': 1647710208.8623452}
{'Topic': 'altitude', 'Value': 196, 'Sender': '10.0.0.14', 'Sent': 1647710208.9084427, 'Brokered': 1647710208.932781, 'Subscriber': '10.0.0.67', 'Received': 1647710208.958605}
{'Topic': 'light', 'Value': 211, 'Sender': '10.0.0.12', 'Sent': 1647710208.914072, 'Brokered': 1647710208.9346342, 'Subscriber': '10.0.0.67', 'Received': 1647710208.9730947}
{'Topic': 'sound', 'Value': 440, 'Sender': '10.0.0.14', 'Sent': 1647710209.0093422, 'Brokered': 1647710209.03463, 'Subscriber': '10.0.0.67', 'Received': 1647710209.0634577}
{'Topic': 'light', 'Value': 296, 'Sender': '10.0.0.12', 'Sent': 1647710209.014864, 'Brokered': 1647710209.036655, 'Subscriber': '10.0.0.67', 'Received': 1647710209.0635846}
{'Topic': 'sound', 'Value': 151, 'Sender': '10.0.0.14', 'Sent': 1647710209.110282, 'Brokered': 1647710209.1309984, 'Subscriber': '10.0.0.67', 'Received': 1647710209.15455}
{'Topic': 'light', 'Value': 54, 'Sender': '10.0.0.12', 'Sent': 1647710209.1152968, 'Brokered': 1647710209.137449, 'Subscriber': '10.0.0.67', 'Received': 1647710209.164394}
{'Topic': 'light', 'Value': 215, 'Sender': '10.0.0.13', 'Sent': 1647710209.2030892, 'Brokered': 1647710209.2268353, 'Subscriber': '10.0.0.67', 'Received': 1647710209.2510366}
{'Topic': 'light', 'Value': 420, 'Sender': '10.0.0.12', 'Sent': 1647710209.2160907, 'Brokered': 1647710209.2414145, 'Subscriber': '10.0.0.67', 'Received': 1647710209.2636757}
{'Topic': 'light', 'Value': 98, 'Sender': '10.0.0.13', 'Sent': 1647710209.3051188, 'Brokered': 1647710209.3269794, 'Subscriber': '10.0.0.67', 'Received': 1647710209.3513405}
{'Topic': 'altitude', 'Value': 184, 'Sender': '10.0.0.14', 'Sent': 1647710209.3120675, 'Brokered': 1647710209.3327618, 'Subscriber': '10.0.0.67', 'Received': 1647710209.356836}
{'Topic': 'light', 'Value': 126, 'Sender': '10.0.0.12', 'Sent': 1647710209.316705, 'Brokered': 1647710209.3393505, 'Subscriber': '10.0.0.67', 'Received': 1647710209.366457}
{'Topic': 'sound', 'Value': 129, 'Sender': '10.0.0.13', 'Sent': 1647710209.4055123, 'Brokered': 1647710209.426514, 'Subscriber': '10.0.0.67', 'Received': 1647710209.453803}
{'Topic': 'altitude', 'Value': 344, 'Sender': '10.0.0.14', 'Sent': 1647710209.415442, 'Brokered': 1647710209.4371982, 'Subscriber': '10.0.0.67', 'Received': 1647710209.467603}
{'Topic': 'light', 'Value': 297, 'Sender': '10.0.0.12', 'Sent': 1647710209.4170365, 'Brokered': 1647710209.4407237, 'Subscriber': '10.0.0.67', 'Received': 1647710209.4677212}
{'Topic': 'sound', 'Value': 180, 'Sender': '10.0.0.13', 'Sent': 1647710209.5058377, 'Brokered': 1647710209.5274518, 'Subscriber': '10.0.0.67', 'Received': 1647710209.5560012}
